UniqueCount	AmbigCount
0	0
148	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
1	0
23	0
6	0
0	0
0	0
0	0
0	0
3	0
0	2
0	0
2376	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	6
0	10
1	0
0	0
0	0
7	0
4	0
0	0
0	0
1	0
0	0
1	0
2	0
0	0
17	0
7	0
0	0
0	0
0	3
5	0
3	0
0	2
0	0
0	0
0	0
0	1
1	0
5	0
0	0
1	0
0	0
9	0
0	0
0	0
1	0
1	0
2	0
5	0
1	0
3	0
6	0
0	0
14	3
2	0
0	0
0	0
6	0
0	0
62	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
139	0
0	0
0	0
9	1
0	0
0	0
1	0
13	14
109	51
0	0
5	0
1	0
0	0
0	0
115	14
0	0
9	0
0	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
2	0
2	0
1	0
2	0
0	0
3	0
16	0
2	0
5	0
0	0
4	75
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
122	0
0	0
1	0
8	0
0	0
0	0
55	0
2	1
1	0
1	0
2	0
1	0
4	2
0	0
38	0
0	0
3	1
0	0
0	0
0	0
22	5
0	1
0	0
0	0
0	0
2	0
2	0
0	0
0	0
0	0
117	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
16	0
12	0
4	0
1	0
2	0
2	0
6	0
0	0
0	0
2	0
9	0
1	0
14	0
0	0
21	0
0	0
0	0
2	0
0	2
2	0
1	0
1	0
3	0
15	0
0	0
8	0
0	0
0	0
0	0
0	0
1	0
14	0
1	0
0	0
0	10
1	0
0	0
10	0
0	0
1	0
1	0
0	0
0	0
2	0
0	0
1	0
1	0
4	0
0	0
0	0
4	0
1	0
4	0
1	0
0	0
6	0
0	0
3	0
7	0
0	0
1	0
1	0
0	0
0	0
0	0
11	0
2	0
0	116
2	0
2	0
10	0
74	0
18	0
1	0
0	0
0	1
214	1
4	0
0	0
0	0
5	0
26	0
0	0
0	0
0	0
0	0
1	0
5	0
0	0
3	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
3	0
3	0
23	0
0	0
0	0
0	0
14	0
0	0
2	0
1	0
6	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
26	0
0	0
8	0
0	0
14	0
5	0
52	0
0	0
1	0
62	0
0	0
3	0
2	0
2	0
0	0
0	0
2	0
0	0
2	0
1	0
0	0
1	0
5	0
0	0
0	0
12	0
0	0
0	0
4	0
0	0
3	0
2	0
0	0
2	0
0	0
1	0
0	0
2	0
0	0
2	0
1	0
2	0
3	0
9	0
43	0
0	0
2	0
10	0
0	0
0	0
0	0
1	0
5	0
1	0
1	0
11	0
0	0
0	0
0	0
2	0
2	0
8	0
6	0
6	0
6	0
615	11
6	0
0	0
2	0
3	0
0	0
0	0
0	0
14	0
156	0
2	0
1	0
0	0
0	0
0	0
1	0
0	0
4	0
16	0
0	0
6	0
9	0
2	0
0	0
3	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
4	0
0	0
4	0
0	0
3	0
1	0
0	0
3	0
0	0
1	0
2	0
2	0
0	0
1	0
0	0
0	0
0	0
1	0
3	0
1	0
0	0
2	0
473	16
0	0
2	0
0	0
1	0
7	0
2	0
1	0
0	0
3	0
0	0
129	0
1	0
0	0
1	0
0	0
4	0
16	0
3	0
0	0
2	0
3	0
0	0
0	0
2	0
11	0
0	0
4	0
51	0
0	0
5	0
0	0
0	0
0	0
4	0
0	0
27	0
1	0
0	0
0	0
4	0
1	0
0	0
0	0
0	0
0	0
3	0
2	0
0	0
0	0
2	0
0	6
0	0
1	0
0	0
65	0
0	0
0	0
0	0
1	0
0	0
3	0
5	0
3	0
2	4
1	0
3	0
0	0
4	0
4	0
0	0
3	0
3	0
0	0
6	0
0	0
9	0
0	0
10	0
1	0
0	0
1	0
0	0
2	0
1	1
6	0
0	0
42	0
18	0
2	0
1	0
0	0
1	0
1	4
2	0
0	1
6	0
7	0
3	22
0	0
6	0
0	0
2	0
13	0
0	0
2	0
0	0
0	0
0	0
31	0
0	0
0	0
3	0
2	0
1	0
0	0
0	0
2	0
1	1
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
3	0
1	0
4	0
0	0
0	0
0	0
0	0
0	0
3	0
32	0
1	0
6	0
0	0
6	27
0	0
0	0
9	0
8	0
2	0
13	0
3	1
0	0
586	0
0	0
0	0
0	0
0	0
112	11
1	0
0	0
2	0
1	0
0	0
0	1
0	0
0	0
11	0
3	0
502	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
2	0
0	0
0	0
13	0
0	0
4	0
3	0
10	22
0	0
0	0
9	0
0	0
6	0
0	0
1	0
0	0
0	0
171	0
1	0
10	0
4	0
1	0
1	0
0	0
0	0
22	1
1	1
0	0
0	0
0	0
0	0
5	0
0	0
0	0
1	0
4	1
16	0
3	1
0	0
1	0
87	0
0	0
0	0
4	0
1	0
3	0
1	0
2	0
0	0
0	0
0	0
0	0
2	0
5	0
0	0
0	0
0	0
1	0
1	0
1	0
0	0
6	0
0	0
0	0
0	0
0	0
8	0
2	0
0	0
19	0
2	0
1	0
0	0
1	0
0	0
6	0
3	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
16	0
13	0
0	0
1	0
1	0
8	0
4	0
0	0
0	0
0	0
0	17
2	0
1	0
0	0
2	0
2	0
2	0
51	0
0	0
514	94
1	0
0	0
54	0
0	0
5	0
1	0
2	0
1	1
30	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
5	0
31	15
2	0
0	0
0	0
14	0
8	0
10	0
0	0
0	220
0	0
0	0
0	0
45	0
28	3
7	0
0	0
2	0
15	0
1	0
3	0
3	0
2	0
1	0
23	5
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
295	0
1	0
0	0
0	0
1	0
0	0
2	0
0	0
3	0
0	0
0	0
2	0
8	1
2	0
1	0
0	0
14	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	4
0	0
1	0
6	0
0	0
14	6
0	0
15	0
2	0
10	0
0	0
0	0
1	0
0	0
1	0
1	8
1	0
6	0
1	0
1	0
0	0
0	0
0	0
24	0
1	0
2	0
3	0
3	0
0	0
1	0
0	0
31	0
1	0
2	0
0	0
2	0
0	0
1	0
1	0
1	0
4	0
0	0
0	0
0	0
0	0
27	0
0	0
0	0
0	0
3	0
142	0
1	0
1	0
0	0
24	0
11	0
1	0
6	0
0	0
5	0
0	0
0	0
8	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
4	0
1	0
2	0
0	0
0	0
1	0
1	0
68	0
15	0
1	0
3	0
0	0
18	0
0	0
4	0
1	0
2	0
1	0
3	0
0	0
0	0
169	0
32	0
1	0
1	0
0	0
62	19
14	0
4	0
27	0
0	0
2	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
5	0
0	0
0	0
0	0
4	0
463	0
0	0
7	0
0	0
1	0
0	0
2	0
0	5
42	0
0	0
0	0
2	0
0	0
1	0
0	0
12	0
0	0
3	0
2	0
10	0
32	0
0	0
0	10
3	0
5	0
0	0
5	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
13	0
0	0
0	0
2	0
0	0
5	0
354	39
0	0
0	0
4	0
0	0
0	0
6	0
75	0
0	0
2	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
9	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	1
0	0
0	2
1	0
2	0
2	0
2	0
8	0
0	0
5	0
3	0
0	0
0	0
2	0
7	0
3	0
7	0
1	0
1	0
7	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
6	0
2	0
3	0
0	0
5	0
0	0
0	0
1	0
1	0
12	0
1	0
0	1
0	0
0	0
62	0
0	0
0	0
7	0
1	0
3	0
0	0
4	0
10	0
0	0
8	0
2	0
1	0
4	0
1	0
2	0
0	7
0	0
9	0
0	0
10	0
0	0
13	0
1	0
4	0
1	0
1	0
0	0
3	0
0	0
2	0
3	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
11	0
1	0
2	0
0	0
5	0
0	0
6	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
2	2
0	0
0	0
1	0
3	0
2	0
0	0
1	0
1	0
2	0
0	0
12	0
6	0
1	0
3	0
1	0
2	0
0	0
32	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	0
3	0
1	0
5	0
11	0
0	0
0	0
0	0
51	0
5	0
3	0
8	97
70	0
12	0
4	0
1	0
3	0
1	0
4	0
2	0
1	0
1	0
2	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
1	0
1	0
0	0
1	0
0	0
0	5
10	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	1
2	0
2	0
1	0
1	0
1	0
4	0
1	0
3	0
1	0
2	2
3	0
0	0
1	0
3	0
0	0
2	0
0	0
16	0
1	0
0	0
44	0
1	0
1	0
5	0
4	0
4	0
2	0
0	0
1	0
3	0
0	0
1	0
0	0
0	0
0	0
2	0
5	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	1
3	0
18	0
0	0
0	0
0	0
3	0
0	0
6	0
0	0
1	0
11	0
0	0
0	0
0	0
0	0
5	0
0	0
0	2
4	0
1	0
0	0
139	56
0	2
49	0
5	0
1	0
0	0
2	0
1	0
0	0
0	0
0	2
0	0
1	0
1	0
2	0
2	0
1	0
0	0
1	0
9	531
3	0
0	0
0	0
0	0
0	0
1	0
19	0
1	0
10	0
0	0
0	0
0	0
1	0
0	2
11	0
4	0
0	0
1	0
0	0
2	3
4	0
10	0
0	0
5	0
0	0
46	8
6	0
1	0
11	0
0	0
2	0
0	0
0	0
1	0
1	0
0	0
1	0
88	34
0	0
4	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
32	0
0	10
0	0
2	0
3	0
1	0
0	0
4	0
2	0
1	0
15	15
1	0
1	0
4	0
26	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
1	0
3	0
1	0
332	0
7	0
0	0
0	0
0	0
1	0
2	0
1	0
3	0
3	0
0	0
0	0
4	0
3	0
0	0
4	0
1	0
0	0
1	0
0	0
0	0
6	0
0	1
1	0
2	0
0	0
0	0
0	0
1	0
0	0
2	0
3	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
42	0
0	0
0	0
1	0
0	9
0	1
0	0
1	0
0	0
1	0
8	0
0	0
9	0
1	0
0	0
2	0
0	0
7	0
26	0
2	0
0	0
0	8
0	0
2	0
0	0
1	0
3	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
13	0
0	0
1	0
1	0
0	0
0	0
0	12
2	0
2	0
0	0
0	0
0	0
0	0
28	0
0	0
117	0
1	0
10	0
5	0
4	0
2	0
0	0
5	1
4	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
2	0
5	6
0	0
0	0
1	0
0	0
3	0
3	0
1	0
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
5	0
0	0
0	0
0	0
0	0
10	0
3	0
1	0
0	0
5	0
0	0
3	0
27	0
0	0
0	0
3	0
8	0
21	0
1	0
1	0
0	0
0	0
0	0
0	0
1	1
0	0
1	0
0	0
17	7
0	0
39	0
16	0
6	0
15	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
4	0
1	0
43	0
6	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
1	0
10	0
0	0
0	0
0	0
0	0
16	1
9	0
0	0
2	0
19	0
11	0
7	0
0	0
4	0
13	96
0	0
0	0
1	0
0	0
5	0
1	0
0	0
2	0
158	0
3	0
2	0
0	0
0	2
6	0
2	0
1	0
0	0
92	0
3	0
8	0
0	0
1	0
0	0
0	0
2	0
9	0
2	0
2	0
4	0
0	0
1	0
0	0
23	0
0	0
0	0
